Data,Preço Médio,Emissor
2021-10-15,43.91545731,5953695
2021-10-16,43.91545731,5953695
2021-10-17,43.91545731,5953695
2021-10-18,43.83683557,5998360
2021-10-19,43.81720979,6045103
2021-10-20,43.75641166,6354847
2021-10-21,43.53441919,6341897
2021-10-22,43.09700415,6655050
2021-10-23,43.09700415,6655050
2021-10-24,43.09700415,6655050
2021-10-25,42.89784549,6664353
2021-10-26,42.8407731,6624293
2021-10-27,42.56180749,6657144
2021-10-28,42.50665725,6606077
2021-10-29,42.64483927,6605051
2021-10-30,42.64483927,6605051
2021-10-31,42.64483927,6605051
2021-11-01,43.14528007,6470123
2021-11-02,43.14528007,6470123
2021-11-03,43.56869524,6428501
2021-11-04,44.21008227,6558694
2021-11-05,45.03756803,6088425
2021-11-06,45.03756803,6088425
2021-11-07,45.03756803,6088425
2021-11-08,45.50863712,5940497
2021-11-09,47.64395693,5978161
2021-11-10,47.91110419,5727458
2021-11-11,47.96805494,5643821
2021-11-12,47.47911946,5631773
2021-11-13,47.47911946,5631773
2021-11-14,47.47911946,5631773
2021-11-15,47.47911946,5631773
2021-11-16,47.11553414,5556652
2021-11-17,47.46174713,5582979
2021-11-18,47.59083306,5671253
2021-11-19,47.61417809,5667462
2021-11-20,47.61417809,5667462
2021-11-21,47.61417809,5667462
2021-11-22,47.85541784,5711986
2021-11-23,47.80804057,6019490
2021-11-24,47.78611695,5975902
2021-11-25,48.06990682,6003683
2021-11-26,48.71020922,5951020
2021-11-27,48.71020922,5951020
2021-11-28,48.71020922,5951020
2021-11-29,48.95022728,5865371
2021-11-30,49.12577772,5830877
2021-12-01,49.18103691,5876489
2021-12-02,49.26409143,5774172
2021-12-03,49.24453085,5702511
2021-12-04,49.24453085,5702511
2021-12-05,49.24453085,5702511
2021-12-06,49.71816618,5711923
2021-12-07,50.71661231,5720196
2021-12-08,53.8618089,5682437
2021-12-09,54.8570312,5343591
2021-12-10,59.52667284,5241875
2021-12-11,59.52667284,5241875
2021-12-12,59.52667284,5241875
2021-12-13,62.04236229,5092204
2021-12-14,62.45535856,5083793
2021-12-15,59.89827152,5035344
