,Data,Preço Médio,Emissor
256,2021-01-09,30.0,3848685.0
257,2021-01-10,30.0,3848685.0
258,2021-01-11,31.2017986,4055946.0
259,2021-01-12,31.8125,4108762.0
260,2021-01-13,32.02564375,4203240.0
261,2021-01-14,31.99900384,4189839.0
262,2021-01-15,31.99900384,4189839.0
263,2021-01-16,31.99900384,4189839.0
264,2021-01-17,31.99900384,4189839.0
265,2021-01-18,31.904908,4234797.0
266,2021-01-19,31.80769231,4340258.0
267,2021-01-20,31.97759214,4629701.0
268,2021-01-21,32.21837315,4814902.0
269,2021-01-22,32.21837315,4814902.0
270,2021-01-23,32.21837315,4814902.0
271,2021-01-24,32.21837315,4814902.0
272,2021-01-25,32.0,5031995.0
273,2021-01-26,31.91666667,5121182.0
274,2021-01-27,31.9753145,5217707.0
275,2021-01-28,32.01014085,5231575.0
276,2021-01-29,32.08988156,5130472.0
277,2021-01-30,32.08988156,5130472.0
278,2021-01-31,32.08988156,5130472.0
279,2021-02-01,32.10195492,5104218.0
280,2021-02-02,32.14062318,5153952.0
281,2021-02-03,32.29025913,5309784.0
282,2021-02-04,32.19238547,5335238.0
283,2021-02-05,32.19238547,5335238.0
284,2021-02-06,32.19238547,5335238.0
285,2021-02-07,32.19238547,5335238.0
286,2021-02-08,32.10464427,5364436.0
287,2021-02-09,32.31,5402919.0
288,2021-02-10,32.3563854,5502307.0
289,2021-02-11,32.12599435,5512309.0
290,2021-02-12,32.12599435,5512309.0
291,2021-02-13,32.12599435,5512309.0
292,2021-02-14,32.12599435,5512309.0
293,2021-02-15,32.12599435,5512309.0
294,2021-02-16,32.12599435,5512309.0
295,2021-02-17,32.29,5612804.0
296,2021-02-18,32.03925217,5796255.0
297,2021-02-19,32.11672827,6174043.0
298,2021-02-20,32.11672827,6174043.0
299,2021-02-21,32.11672827,6174043.0
300,2021-02-22,32.13034146,6398758.0
301,2021-02-23,32.1491516,6333344.0
302,2021-02-24,32.12608658,6387475.0
303,2021-02-25,32.10792473,6399369.0
304,2021-02-26,32.09754717,6534671.0
305,2021-02-27,32.09754717,6534671.0
306,2021-02-28,32.09754717,6534671.0
307,2021-03-01,32.07352941,6463078.0
308,2021-03-02,32.01642248,6531902.0
309,2021-03-03,31.75602445,6653539.0
310,2021-03-04,31.33672378,6657335.0
311,2021-03-05,30.2797875,6586266.0
312,2021-03-06,30.2797875,6586266.0
313,2021-03-07,30.2797875,6586266.0
314,2021-03-08,30.30142333,6599890.0
315,2021-03-09,30.132031,6595117.0
316,2021-03-10,29.83124806,6736048.0
317,2021-03-11,29.81288965,6861315.0
318,2021-03-12,30.47,6871489.0
319,2021-03-13,30.47,6871489.0
320,2021-03-14,30.47,6871489.0
321,2021-03-15,29.84671043,6973737.0
322,2021-03-16,29.56076533,6898854.0
323,2021-03-17,29.51555535,6903122.0
324,2021-03-18,29.33581926,7201494.0
325,2021-03-19,29.28709436,7174133.0
326,2021-03-20,29.28709436,7174133.0
327,2021-03-21,29.28709436,7174133.0
328,2021-03-22,29.06646752,7142022.0
329,2021-03-23,28.83847319,7067944.0
330,2021-03-24,28.64511128,7199257.0
331,2021-03-25,28.57783223,7606510.0
332,2021-03-26,28.52264389,7555456.0
333,2021-03-27,28.52264389,7555456.0
334,2021-03-28,28.52264389,7555456.0
335,2021-03-29,28.46997429,7596433.0
336,2021-03-30,28.11183298,7542366.0
337,2021-03-31,28.48507846,7496416.0
338,2021-04-01,28.73234408,7377477.0
339,2021-04-02,28.73234408,7377477.0
340,2021-04-03,28.73234408,7377477.0
341,2021-04-04,28.73234408,7377477.0
342,2021-04-05,28.97272727,7375612.0
343,2021-04-06,29.39853618,7644885.0
344,2021-04-07,29.98821545,7643587.0
345,2021-04-08,30.48869565,7483076.0
346,2021-04-09,30.48869565,7483076.0
347,2021-04-10,30.48869565,7483076.0
348,2021-04-11,30.48869565,7483076.0
349,2021-04-12,30.90131714,7292856.0
350,2021-04-13,30.92586207,7204457.0
351,2021-04-14,30.96596774,7210100.0
352,2021-04-15,30.996,7162089.0
353,2021-04-16,30.99982456,7157138.0
354,2021-04-17,30.99982456,7157138.0
355,2021-04-18,30.99982456,7157138.0
356,2021-04-19,30.73088747,7017701.0
357,2021-04-20,30.95361417,7085736.0
358,2021-04-21,30.95361417,7085736.0
359,2021-04-22,31.15982817,7266899.0
360,2021-04-23,31.18944635,7390809.0
361,2021-04-24,31.18944635,7390809.0
362,2021-04-25,31.18944635,7390809.0
363,2021-04-26,31.10161181,7530334.0
364,2021-04-27,31.01106457,7706678.0
365,2021-04-28,30.92433184,7741205.0
366,2021-04-29,30.89903004,7713177.0
367,2021-04-30,30.79211297,7690124.0
368,2021-05-01,30.79211297,7690124.0
369,2021-05-02,30.79211297,7690124.0
370,2021-05-03,30.70108696,7576235.0
371,2021-05-04,31.30511715,7586657.0
372,2021-05-05,30.74048846,7689063.0
373,2021-05-06,30.7275448,7702769.0
374,2021-05-07,30.70519227,7671899.0
375,2021-05-08,30.70519227,7671899.0
376,2021-05-09,30.70519227,7671899.0
377,2021-05-10,30.6875,7602076.0
378,2021-05-11,30.67865484,7621559.0
379,2021-05-12,30.47243035,7618594.0
380,2021-05-13,30.65694437,7498525.0
381,2021-05-14,30.67375338,7450124.0
382,2021-05-15,30.67375338,7450124.0
383,2021-05-16,30.67375338,7450124.0
384,2021-05-17,30.6712217,7333521.0
385,2021-05-18,30.61215281,7227764.0
386,2021-05-19,30.63881316,7511092.0
387,2021-05-20,30.58406594,7489951.0
388,2021-05-21,30.54883854,7431815.0
389,2021-05-22,30.54883854,7431815.0
390,2021-05-23,30.54883854,7431815.0
391,2021-05-24,30.49715071,7769346.0
392,2021-05-25,30.50039669,7919778.0
393,2021-05-26,30.44973752,7950305.0
394,2021-05-27,30.42709834,7892653.0
395,2021-05-28,30.42709834,7892653.0
396,2021-05-29,30.42709834,7892653.0
397,2021-05-30,30.42709834,7892653.0
398,2021-05-31,30.03111111,7813310.0
399,2021-06-01,29.62356291,7829626.0
400,2021-06-02,29.65732087,7789964.0
401,2021-06-03,29.65732087,7789964.0
402,2021-06-04,29.59110814,7866606.0
403,2021-06-05,29.59110814,7866606.0
404,2021-06-06,29.59110814,7866606.0
405,2021-06-07,29.5509681,7995563.0
406,2021-06-08,29.57482589,8058811.0
407,2021-06-09,29.18695644,7982075.0
408,2021-06-10,28.5695432,7872170.0
409,2021-06-11,28.51520833,7766507.0
410,2021-06-12,28.51520833,7766507.0
411,2021-06-13,28.51520833,7766507.0
412,2021-06-14,28.71929632,7803612.0
413,2021-06-15,28.42264954,7791282.0
414,2021-06-16,28.43770987,7887234.0
415,2021-06-17,28.38069731,7754468.0
416,2021-06-18,28.35563029,7819444.0
417,2021-06-19,28.35563029,7819444.0
418,2021-06-20,28.35563029,7819444.0
419,2021-06-21,28.4644786,7902769.0
420,2021-06-22,28.212,7853078.0
421,2021-06-23,28.17478217,8016510.0
422,2021-06-24,27.83438964,7930362.0
423,2021-06-25,27.97166667,7874611.0
424,2021-06-26,27.97166667,7874611.0
425,2021-06-27,27.97166667,7874611.0
426,2021-06-28,27.96161062,7963909.0
427,2021-06-29,27.93380808,8398893.0
428,2021-06-30,27.80409925,8471154.0
429,2021-07-01,27.77003585,8494055.0
430,2021-07-02,27.77003585,8494055.0
431,2021-07-03,27.77003585,8494055.0
432,2021-07-04,27.77003585,8494055.0
433,2021-07-05,27.72578055,8466993.0
434,2021-07-06,27.68497935,8552077.0
435,2021-07-07,27.63100587,8615842.0
436,2021-07-08,27.64318182,8592975.0
437,2021-07-09,27.44572727,8598837.0
438,2021-07-10,27.44572727,8598837.0
439,2021-07-11,27.44572727,8598837.0
440,2021-07-12,27.68676905,8653843.0
441,2021-07-13,27.60770999,8688128.0
442,2021-07-14,27.64588043,8674555.0
443,2021-07-15,27.59970428,8685890.0
444,2021-07-16,27.63165195,8623684.0
445,2021-07-17,27.63165195,8623684.0
446,2021-07-18,27.63165195,8623684.0
447,2021-07-19,27.58154848,8597325.0
448,2021-07-20,27.56665349,9195486.0
449,2021-07-21,27.56218435,9355118.0
450,2021-07-22,27.54569974,9338417.0
451,2021-07-23,27.5044036,9399615.0
452,2021-07-24,27.5044036,9399615.0
453,2021-07-25,27.5044036,9399615.0
454,2021-07-26,27.5354815,9464788.0
455,2021-07-27,27.52583521,9465028.0
456,2021-07-28,27.49229949,9517431.0
457,2021-07-29,27.51124708,9492262.0
458,2021-07-30,27.4787592,9459226.0
459,2021-07-31,27.4787592,9459226.0
460,2021-08-01,27.4787592,9459226.0
461,2021-08-02,27.58983769,9523302.0
462,2021-08-03,27.49247341,9584889.0
463,2021-08-04,27.53273163,9679923.0
464,2021-08-05,27.55855252,9725011.0
465,2021-08-06,27.51047863,9698444.0
466,2021-08-07,27.51047863,9698444.0
467,2021-08-08,27.51047863,9698444.0
468,2021-08-09,27.55546099,9641514.0
469,2021-08-10,27.49761003,9642164.0
470,2021-08-11,27.53087901,9808041.0
471,2021-08-12,27.52780876,9793611.0
472,2021-08-13,27.50382463,9730452.0
473,2021-08-14,27.50382463,9730452.0
474,2021-08-15,27.50382463,9730452.0
475,2021-08-16,27.57731038,9786826.0
476,2021-08-17,27.5348644,9760781.0
477,2021-08-18,27.54865369,10192437.0
478,2021-08-19,27.5350521,10387233.0
479,2021-08-20,27.56693211,10594086.0
480,2021-08-21,27.56693211,10594086.0
481,2021-08-22,27.56693211,10594086.0
482,2021-08-23,27.60788233,10604896.0
483,2021-08-24,27.63030436,10706732.0
484,2021-08-25,27.74955483,10829925.0
485,2021-08-26,27.82039876,10730298.0
486,2021-08-27,28.22428572,10733931.0
487,2021-08-28,28.22428572,10733931.0
488,2021-08-29,28.22428572,10733931.0
489,2021-08-30,29.91359449,10739075.0
490,2021-08-31,30.60554961,10326370.0
491,2021-09-01,31.25698993,10321949.0
492,2021-09-02,32.57266769,10336217.0
493,2021-09-03,36.46583456,10455434.0
494,2021-09-04,36.46583456,10455434.0
495,2021-09-05,36.46583456,10455434.0
496,2021-09-06,39.96520052,9607103.0
497,2021-09-07,39.96520052,9607103.0
498,2021-09-08,39.66781461,9714612.0
499,2021-09-09,39.66781461,9714612.0
500,2021-09-10,39.66781461,9714612.0
501,2021-09-11,39.66781461,9714612.0
502,2021-09-12,39.66781461,9714612.0
503,2021-09-13,45.93999565,8645663.0
504,2021-09-14,45.72943383,8614237.0
505,2021-09-15,43.72330386,8501539.0
506,2021-09-16,43.48376222,8271952.0
507,2021-09-17,43.52648773,7169734.0
508,2021-09-18,43.52648773,7169734.0
509,2021-09-19,43.52648773,7169734.0
510,2021-09-20,44.84697615,7260614.0
511,2021-09-21,47.30465478,6051095.0
512,2021-09-22,48.82742493,6206764.0
513,2021-09-23,48.30236779,6112266.0
514,2021-09-24,47.96277464,6102327.0
515,2021-09-25,47.96277464,6102327.0
516,2021-09-26,47.96277464,6102327.0
517,2021-09-27,47.66471142,6108774.0
518,2021-09-28,46.68414212,6082623.0
519,2021-09-29,45.91465201,6135316.0
520,2021-09-30,45.02895867,5990902.0
521,2021-10-01,44.70731683,5879398.0
522,2021-10-02,44.70731683,5879398.0
523,2021-10-03,44.70731683,5879398.0
524,2021-10-04,44.21856871,5790037.0
525,2021-10-05,44.05248967,5808365.0
526,2021-10-06,44.17054205,5798614.0
527,2021-10-07,44.01009784,5798374.0
528,2021-10-08,44.05620906,5783903.0
529,2021-10-09,44.05620906,5783903.0
530,2021-10-10,44.05620906,5783903.0
531,2021-10-11,43.96989839,5885905.0
532,2021-10-12,43.96989839,5885905.0
533,2021-10-13,43.83380442,5956202.0
534,2021-10-14,43.84178954,5989076.0
535,2021-10-15,43.91545731,5953695.0
536,2021-10-16,43.91545731,5953695.0
537,2021-10-17,43.91545731,5953695.0
538,2021-10-18,43.83683557,5998360.0
539,2021-10-19,43.81720979,6045103.0
540,2021-10-20,43.75641166,6354847.0
541,2021-10-21,43.53441919,6341897.0
542,2021-10-22,43.09700415,6655050.0
543,2021-10-23,43.09700415,6655050.0
544,2021-10-24,43.09700415,6655050.0
545,2021-10-25,42.89784549,6664353.0
546,2021-10-26,42.8407731,6624293.0
547,2021-10-27,42.56180749,6657144.0
548,2021-10-28,42.50665725,6606077.0
549,2021-10-29,42.64483927,6605051.0
550,2021-10-30,42.64483927,6605051.0
551,2021-10-31,42.64483927,6605051.0
552,2021-11-01,43.14528007,6470123.0
553,2021-11-02,43.14528007,6470123.0
554,2021-11-03,43.56869524,6428501.0
555,2021-11-04,44.21008227,6558694.0
556,2021-11-05,45.03756803,6088425.0
557,2021-11-06,45.03756803,6088425.0
558,2021-11-07,45.03756803,6088425.0
559,2021-11-08,45.50863712,5940497.0
560,2021-11-09,47.64395693,5978161.0
561,2021-11-10,47.91110419,5727458.0
562,2021-11-11,47.96805494,5643821.0
563,2021-11-12,47.47911946,5631773.0
564,2021-11-13,47.47911946,5631773.0
565,2021-11-14,47.47911946,5631773.0
566,2021-11-15,47.47911946,5631773.0
567,2021-11-16,47.11553414,5556652.0
568,2021-11-17,47.46174713,5582979.0
569,2021-11-18,47.59083306,5671253.0
570,2021-11-19,47.61417809,5667462.0
571,2021-11-20,47.61417809,5667462.0
572,2021-11-21,47.61417809,5667462.0
573,2021-11-22,47.85541784,5711986.0
574,2021-11-23,47.80804057,6019490.0
575,2021-11-24,47.78611695,5975902.0
576,2021-11-25,48.06990682,6003683.0
577,2021-11-26,48.71020922,5951020.0
578,2021-11-27,48.71020922,5951020.0
579,2021-11-28,48.71020922,5951020.0
580,2021-11-29,48.95022728,5865371.0
581,2021-11-30,49.12577772,5830877.0
582,2021-12-01,49.18103691,5876489.0
583,2021-12-02,49.26409143,5774172.0
584,2021-12-03,49.24453085,5702511.0
585,2021-12-04,49.24453085,5702511.0
586,2021-12-05,49.24453085,5702511.0
587,2021-12-06,49.71816618,5711923.0
588,2021-12-07,50.71661231,5720196.0
589,2021-12-08,53.8618089,5682437.0
590,2021-12-09,54.8570312,5343591.0
591,2021-12-10,59.52667284,5241875.0
592,2021-12-11,59.52667284,5241875.0
593,2021-12-12,59.52667284,5241875.0
594,2021-12-13,62.04236229,5092204.0
595,2021-12-14,62.45535856,5083793.0
596,2021-12-15,59.89827152,5035344.0
597,2021-12-16,59.63778104,4998102.0
598,2021-12-17,60.34462152,5042242.0
599,2021-12-18,60.34462152,5042242.0
600,2021-12-19,60.34462152,5042242.0
601,2021-12-20,59.36257832,5313145.0
602,2021-12-21,60.24226883,5562590.0
603,2021-12-22,59.11369643,5532116.0
604,2021-12-23,59.62194146,5376964.0
605,2021-12-24,59.97696827,5118220.0
606,2021-12-25,59.97696827,5118220.0
607,2021-12-26,59.97696827,5118220.0
608,2021-12-27,60.29705016,5123679.0
609,2021-12-28,60.32749283,5115606.0
610,2021-12-29,59.51351672,5031022.0
611,2021-12-30,58.6712924,5022853.0
612,2021-12-31,58.6712924,5022853.0
613,2022-01-01,58.6712924,5022853.0
614,2022-01-02,58.6712924,5022853.0
615,2022-01-03,58.6712924,5022853.0
616,2022-01-04,58.6712924,5022853.0
617,2022-01-05,45.45867444,5141363.0
618,2022-01-06,52.57765878,5247558.0
619,2022-01-07,53.33302413,5248977.0
620,2022-01-08,53.33302413,5248977.0
621,2022-01-09,53.33302413,5248977.0
622,2022-01-10,53.38237614,5297071.0
623,2022-01-11,54.86877402,5491376.0
624,2022-01-12,55.64151205,5541855.0
625,2022-01-13,55.65982127,5534238.0
626,2022-01-14,55.69435254,5509581.0
627,2022-01-15,55.69435254,5509581.0
628,2022-01-16,55.69435254,5509581.0
629,2022-01-17,56.29864198,5540794.0
630,2022-01-18,57.09783767,5509543.0
631,2022-01-19,60.26977971,6008534.0
632,2022-01-20,62.11679732,6015704.0
633,2022-01-21,66.00115944,5942723.0
634,2022-01-22,66.00115944,5942723.0
635,2022-01-23,66.00115944,5942723.0
636,2022-01-24,69.006079,5734846.0
637,2022-01-25,69.94877223,5659099.0
638,2022-01-26,69.95028279,5719442.0
639,2022-01-27,69.74444011,5721479.0
640,2022-01-28,70.45017675,5685656.0
641,2022-01-29,70.45017675,5685656.0
642,2022-01-30,70.45017675,5685656.0
643,2022-01-31,70.49318785,5465440.0
644,2022-02-01,71.39186454,5459383.0
645,2022-02-02,72.93960222,5459577.0
646,2022-02-03,74.29223552,5446257.0
647,2022-02-04,77.3731976,5348718.0
648,2022-02-05,77.3731976,5348718.0
649,2022-02-06,77.3731976,5348718.0
650,2022-02-07,78.79885119,5190785.0
651,2022-02-08,80.23665531,5111262.0
652,2022-02-09,80.36504602,4982760.0
653,2022-02-10,82.58781213,5079046.0
654,2022-02-11,85.12099138,5005084.0
655,2022-02-12,85.12099138,5005084.0
656,2022-02-13,85.12099138,5005084.0
657,2022-02-14,89.3525358,4823052.0
658,2022-02-15,89.80048764,4681425.0
659,2022-02-16,91.96681196,4679978.0
660,2022-02-17,92.88040173,4641407.0
661,2022-02-18,95.30281992,4717043.0
662,2022-02-19,95.30281992,4717043.0
