"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Tocantins","84510171.39426094","83768927.52317315","97749609.82628146","93313242.23848873","72919962.15017577","112515623.01456647","93174277.5874155","76391442.02847601","73440266.53568955","85845811.25434159","82275216.60718437","77412323.8399671","61933206.72572947","66664657.61067723","75489230.12826814","66619208.29516445","61374450.5612216","52674227.40605414","55517307.99655517","50834256.00164174","51473663.54057306","52404486.35480041","62684417.60174746","78714966.19879669","70066287.38954167","71343105.11706875","63249042.267497286","59773451.62972445","59480226.40651808","65784355.36558104","63200163.82746796","59038533.03444499","67046135.76385669","90849604.40387963","72852346.65243635"
"Rio de Janeiro","33199167.9693103","35375507.284971364","33740181.35034929","33880620.01514174","35956164.43965053","35604968.20966852","34125660.93877546","38339180.40991529","41720573.45767584","42118390.76076013","45868018.44126515","46066437.649505176","47590911.876851864","46892208.48273885","47885921.91879973","52077052.97036052","50831031.32143784","58046623.537042305","67340448.32297122","65480035.97840274","67993514.65679178","69662206.7025084","75754492.4920986","79427896.95065905","76969459.78679407","76646097.07672437","68937964.17698449","71274359.81357291","68125576.45568083","68752853.06235826","66710023.44377158","74133792.78601456","67136140.31647956","68676791.70043157","71670980.90691368"
"Mato Grosso do Sul","165469353.9301143","157278080.0447907","171629270.44531384","141143012.16963866","135345831.7727063","148770433.69528252","122417801.74843562","104418773.67081878","107121770.6039668","109759445.94527563","104627715.76436915","101686152.19817962","101134616.71378046","121551634.82218243","105667424.91539843","99884346.94668259","91078685.2985858","78048036.50437249","77594482.4745608","74088331.37522183","75377707.9565081","70626189.31149079","73044813.57614057","75903771.90428711","75345968.58778498","75414901.37377408","75929381.61908099","74488399.44908755","71823902.3144808","76980966.33216238","78670025.99584296","84134167.79559314","73063157.81853029","83879476.01180072","71468778.64777198"
"Paraná","82050260.05126533","81052375.49002197","74140921.30332084","77929468.02770984","77167385.82086262","80959419.5688783","76876125.3365766","78581448.93013835","86358356.08698377","80593889.68223995","75651478.05821256","73306141.40549862","73337804.34211755","76613076.77323547","73536096.53130302","70361341.61957473","69960296.66224642","68552273.09789112","71977385.56211388","67723920.14043325","71549081.13899603","71359689.1131146","75361910.86371629","79810810.99219748","80286377.31455265","78989651.75046286","78611044.20560181","77755914.52193889","77226937.90784185","79923489.0040406","77592841.40277113","81160345.78641109","78761166.50287691","77865775.09263788","69315262.20907061"
"Não Alocado","69174145.48497677","65116843.75137234","64532196.73155427","66464864.20166111","69483702.41087484","73051841.09811491","80297408.34455395","83409557.11480606","74835433.28095806","89003291.86043751","69538868.86606407","62371342.281933784","67779413.40260315","70305905.84051073","75849573.0864687","76547217.4623273","77739359.36406401","58391299.7021143","57719649.48677446","53369511.47710323","58637943.39156067","63088461.75770372","62344890.22795935","62871234.16166184","73623625.47901715","72851928.70074263","60443713.99027946","65577787.952287816","65910473.54063108","66349011.179779425","61070075.58136608","64752232.691869676","62931359.54947255","60880424.56720213","61684869.014417306"
"Piauí","16962526.318455476","17377762.565498043","18821591.17433761","17542532.467842486","16938311.90731409","16269189.694453368","16234535.208310436","18633464.854618397","18416891.616108175","21313931.118573852","20120182.581451435","24498426.47714748","18910571.391778808","17930171.670451064","32125953.1702037","25540467.829614174","20889525.798951153","21175365.354487896","23746850.517660152","20369738.851021133","31160753.780445013","22946606.829194397","42213067.04660642","35216238.96324451","32677372.27116732","30679693.004923493","21869495.167371526","24414055.5649917","25255549.679602306","34543058.69464056","35531184.54118897","33199327.19595847","45623224.42223282","45178324.16948146","48922715.498986274"
"Acre","22680789.87024792","26122675.40033816","28847376.347162638","29262655.41651047","41976212.93495063","39105911.85277496","43768836.61499569","38673923.63728521","36742620.716528684","42545093.05143645","41309836.85174387","35821778.26273612","53649078.571670935","58220247.00336547","45272945.351986304","46029162.3805228","36509067.456222","30616613.2200905","30825850.376492336","32001219.858126957","32967403.931023054","28117286.18320992","27359413.17028018","31131578.27955989","33435359.00688504","36484753.82440659","33267108.637226287","36086203.31605004","38739274.456332184","70729970.41293679","71176354.2280901","75456053.44444817","90166126.07393815","50743978.24909992","45271338.162359774"
"Santa Catarina","44418604.10531095","42268705.62866612","42909257.805542156","41316010.28827055","38263711.0894389","39469758.03618538","38451530.85601116","39642807.67812207","38624585.74251817","43082947.394736096","44481847.387222394","43492362.3106787","43996442.7424624","45036586.44016284","43878868.80925879","43603272.50301154","43570525.58647523","42742022.21793154","46649205.29008682","44639127.55028446","47471981.48556247","45289401.35236738","47815914.06698701","50543242.91891372","51740593.0796344","49610690.82693516","49983144.191793725","50416434.014414184","50223370.90342284","51556159.076357305","48726717.65085639","51930545.40845378","52058200.18784269","48277252.77901325","42614888.54669282"
"Roraima","8692094.402357459","10587686.995928949","14840118.205414968","15474711.692749657","14842035.918507814","16735843.130230743","20095110.658520073","18731210.869278707","22914383.76674153","26638314.27628174","25489486.40600152","29565690.6446412","24018434.226246256","27533937.996211074","25424241.21308227","24683024.36567927","21346608.243656106","22442387.8302618","25684331.30429256","14795549.616851946","13014148.720512062","11743227.688800072","14250036.061517747","22214932.489720426","27867787.67379046","34665790.95450006","29719844.14025535","23480697.338501167","25737519.148449086","40535832.62796581","26034743.853887912","34089480.37844973","29106635.846022826","31315464.727845047","40300816.65032153"
"Ceará","17214822.144765075","18596547.12318081","22008031.115388587","18216728.058696404","18008239.261897862","25665145.773543395","21625777.868369304","18864575.1830415","23199211.874309152","26668721.941785928","25957922.847905558","23692648.119181596","24110387.63180162","24359830.872302596","26084449.011667028","26069713.992314078","26388898.078974612","24870979.436834034","24986162.010322","25991552.946731806","26091502.117400646","26881913.40357306","29271025.094779808","32193827.1474097","34813185.27026676","35170592.69752824","32998488.226159945","34165175.687143974","32963405.560543865","34128572.624105826","31799307.706506647","37065520.5990129","34118053.14558289","38068119.917995214","37977624.482708834"
